subcity,bedrooms,bathrooms,area_sqm,has_water_tank,has_generator,is_furnished,description_text,rent_price_etb
Kolfe,2,2,92.4,0,0,0,2-bedroom unit in Kolfe for long-term rental. Floor space of 92 square metres. Well maintained apartment. Ideal for families or professionals.,26500.0
Kirkos,5,3,147.4,0,0,0,"5-bedroom apartment in Kirkos available for rent. 147 square metres, well laid out. Well maintained apartment. Quiet neighbourhood with good access to transport.",62000.0
Lidetta,1,1,56.0,0,0,1,1-bedroom unit in Lidetta for long-term rental. About 56 square metres of living space. Furnished and ready to move in. Well maintained and secure.,17500.0
Gulele,3,1,111.1,1,0,0,3-bedroom apartment in Gulele available for rent. Floor space of 111 square metres. Features a private water tank. Close to schools and markets.,34500.0
Bole,5,3,131.9,0,0,0,"Apartment with 5 bedrooms in Bole, now available. Floor space of 132 square metres. Well maintained apartment. Quiet neighbourhood with good access to transport.",59500.0
Addis Ketema,5,3,160.4,0,0,0,5-bedroom unit in Addis Ketema for long-term rental. Floor space of 160 square metres. Well maintained apartment. Well maintained and secure.,47500.0
Kolfe,2,1,74.6,1,1,0,2-bedroom unit in Kolfe for long-term rental. Floor space of 75 square metres. Features a private water tank. Comes with a backup generator. Well maintained and secure.,26000.0
Kolfe,4,3,134.4,1,0,0,4-bedroom apartment in Kolfe available for rent. Floor space of 134 square metres. Features a private water tank. Well maintained and secure.,43000.0
Bole,1,1,57.7,1,0,0,1-bedroom apartment in Bole available for rent. Floor space of 58 square metres. Features a private water tank. Close to schools and markets.,25000.0
Arada,1,1,60.8,0,0,0,"1-bedroom unit in Arada for long-term rental. 61 square metres, well laid out. Well maintained apartment. Close to schools and markets.",21500.0
Kirkos,2,1,76.9,0,0,0,2-bedroom unit in Kirkos for long-term rental. About 77 square metres of living space. Well maintained apartment. Close to schools and markets.,30000.0
Akaky Kaliti,5,3,150.1,1,0,0,"Apartment with 5 bedrooms in Akaky Kaliti, now available. 150 square metres, well laid out. Features a private water tank. Well maintained and secure.",45000.0
Nifas Silk,4,2,152.7,0,0,0,4-bedroom apartment in Nifas Silk available for rent. Floor space of 153 square metres. Well maintained apartment. Close to schools and markets.,48000.0
Kolfe,3,2,124.6,0,1,1,3-bedroom apartment in Kolfe available for rent. Floor space of 125 square metres. Comes with a backup generator. Furnished and ready to move in. Well maintained and secure.,44000.0
Kirkos,2,1,90.3,1,0,0,"Rent a 2-bedroom home located in Kirkos. 90 square metres, well laid out. Features a private water tank. Quiet neighbourhood with good access to transport.",36500.0
Yeka,1,1,63.7,0,0,0,"Rent a 1-bedroom home located in Yeka. 64 square metres, well laid out. Well maintained apartment. Well maintained and secure.",20500.0
Arada,2,2,96.1,0,0,0,2-bedroom apartment in Arada available for rent. About 96 square metres of living space. Well maintained apartment. Well maintained and secure.,35500.0
Bole,1,1,77.6,0,0,1,1-bedroom unit in Bole for long-term rental. About 78 square metres of living space. Furnished and ready to move in. Quiet neighbourhood with good access to transport.,34500.0
Kolfe,1,1,54.0,0,1,1,Rent a 1-bedroom home located in Kolfe. About 54 square metres of living space. Comes with a backup generator. Furnished and ready to move in. Quiet neighbourhood with good access to transport.,20500.0
Nifas Silk,4,2,129.1,1,0,0,Rent a 4-bedroom home located in Nifas Silk. Floor space of 129 square metres. Features a private water tank. Close to schools and markets.,44000.0
Kolfe,1,1,42.1,1,1,0,"Rent a 1-bedroom home located in Kolfe. 42 square metres, well laid out. Features a private water tank. Comes with a backup generator. Close to schools and markets.",17000.0
Kirkos,1,1,77.5,0,0,1,"1-bedroom apartment in Kirkos available for rent. 78 square metres, well laid out. Furnished and ready to move in. Quiet neighbourhood with good access to transport.",32500.0
Addis Ketema,3,1,132.8,1,0,0,"Apartment with 3 bedrooms in Addis Ketema, now available. 133 square metres, well laid out. Features a private water tank. Close to schools and markets.",37000.0
Akaky Kaliti,2,1,87.0,1,0,0,Rent a 2-bedroom home located in Akaky Kaliti. Floor space of 87 square metres. Features a private water tank. Quiet neighbourhood with good access to transport.,24000.0
Kolfe,3,2,82.5,1,1,0,"Rent a 3-bedroom home located in Kolfe. 82 square metres, well laid out. Features a private water tank. Comes with a backup generator. Quiet neighbourhood with good access to transport.",31000.0
Yeka,1,1,71.3,0,0,0,"1-bedroom apartment in Yeka available for rent. 71 square metres, well laid out. Well maintained apartment. Well maintained and secure.",22500.0
Arada,2,2,75.2,1,0,0,Rent a 2-bedroom home located in Arada. About 75 square metres of living space. Features a private water tank. Quiet neighbourhood with good access to transport.,31000.0
Bole,3,1,100.0,1,0,0,"Apartment with 3 bedrooms in Bole, now available. Floor space of 100 square metres. Features a private water tank. Close to schools and markets.",43500.0
Bole,4,2,137.5,0,0,0,Rent a 4-bedroom home located in Bole. Floor space of 138 square metres. Well maintained apartment. Quiet neighbourhood with good access to transport.,58000.0
Gulele,3,2,111.1,1,1,1,"Apartment with 3 bedrooms in Gulele, now available. About 111 square metres of living space. Features a private water tank. Comes with a backup generator. Furnished and ready to move in. Close to schools and markets.",44000.0
Gulele,3,2,102.1,1,0,0,"Rent a 3-bedroom home located in Gulele. 102 square metres, well laid out. Features a private water tank. Ideal for families or professionals.",34000.0
Addis Ketema,3,2,100.2,0,0,0,Rent a 3-bedroom home located in Addis Ketema. Floor space of 100 square metres. Well maintained apartment. Ideal for families or professionals.,29500.0
Kirkos,2,1,87.5,0,0,0,"Rent a 2-bedroom home located in Kirkos. 88 square metres, well laid out. Well maintained apartment. Well maintained and secure.",33500.0
Kirkos,2,2,81.1,1,0,1,2-bedroom apartment in Kirkos available for rent. About 81 square metres of living space. Features a private water tank. Furnished and ready to move in. Quiet neighbourhood with good access to transport.,39500.0
Arada,3,2,94.7,0,1,1,"Apartment with 3 bedrooms in Arada, now available. About 95 square metres of living space. Comes with a backup generator. Furnished and ready to move in. Ideal for families or professionals.",46000.0
Yeka,1,1,60.0,0,0,0,1-bedroom unit in Yeka for long-term rental. About 60 square metres of living space. Well maintained apartment. Quiet neighbourhood with good access to transport.,19500.0
Bole,4,2,134.1,0,0,1,4-bedroom apartment in Bole available for rent. About 134 square metres of living space. Furnished and ready to move in. Quiet neighbourhood with good access to transport.,65500.0
Arada,4,3,127.9,0,0,1,"Apartment with 4 bedrooms in Arada, now available. 128 square metres, well laid out. Furnished and ready to move in. Quiet neighbourhood with good access to transport.",58500.0
Yeka,2,1,69.0,0,0,1,"Apartment with 2 bedrooms in Yeka, now available. About 69 square metres of living space. Furnished and ready to move in. Quiet neighbourhood with good access to transport.",27500.0
Gulele,2,1,97.9,0,1,0,"Rent a 2-bedroom home located in Gulele. 98 square metres, well laid out. Comes with a backup generator. Quiet neighbourhood with good access to transport.",30000.0
Kirkos,2,1,53.1,0,0,1,"2-bedroom unit in Kirkos for long-term rental. 53 square metres, well laid out. Furnished and ready to move in. Quiet neighbourhood with good access to transport.",26000.0
Lidetta,4,2,124.6,0,0,1,4-bedroom apartment in Lidetta available for rent. About 125 square metres of living space. Furnished and ready to move in. Close to schools and markets.,43000.0
Gulele,4,3,122.6,0,0,0,4-bedroom apartment in Gulele available for rent. Floor space of 123 square metres. Well maintained apartment. Well maintained and secure.,40000.0
Yeka,1,1,65.8,0,0,0,1-bedroom apartment in Yeka available for rent. About 66 square metres of living space. Well maintained apartment. Quiet neighbourhood with good access to transport.,21000.0
Lidetta,3,2,114.7,0,0,1,3-bedroom apartment in Lidetta available for rent. Floor space of 115 square metres. Furnished and ready to move in. Close to schools and markets.,38000.0
Kolfe,1,1,77.5,0,0,1,Rent a 1-bedroom home located in Kolfe. About 78 square metres of living space. Furnished and ready to move in. Quiet neighbourhood with good access to transport.,23000.0
Kirkos,3,3,99.5,0,0,0,"3-bedroom unit in Kirkos for long-term rental. 100 square metres, well laid out. Well maintained apartment. Well maintained and secure.",42000.0
Yeka,2,1,93.0,0,1,0,Rent a 2-bedroom home located in Yeka. About 93 square metres of living space. Comes with a backup generator. Close to schools and markets.,33000.0
Gulele,2,2,88.3,1,1,1,2-bedroom apartment in Gulele available for rent. About 88 square metres of living space. Features a private water tank. Comes with a backup generator. Furnished and ready to move in. Well maintained and secure.,35500.0
Bole,3,2,87.5,1,0,1,3-bedroom apartment in Bole available for rent. About 88 square metres of living space. Features a private water tank. Furnished and ready to move in. Well maintained and secure.,46500.0
Yeka,2,1,108.8,0,0,1,2-bedroom apartment in Yeka available for rent. About 109 square metres of living space. Furnished and ready to move in. Well maintained and secure.,39500.0
Bole,2,1,68.7,0,0,0,"2-bedroom apartment in Bole available for rent. 69 square metres, well laid out. Well maintained apartment. Quiet neighbourhood with good access to transport.",29000.0
Kolfe,4,2,135.0,1,0,0,"Apartment with 4 bedrooms in Kolfe, now available. About 135 square metres of living space. Features a private water tank. Well maintained and secure.",42000.0
Gulele,5,3,156.7,0,0,0,"5-bedroom unit in Gulele for long-term rental. 157 square metres, well laid out. Well maintained apartment. Ideal for families or professionals.",50000.0
Gulele,1,1,67.3,0,0,0,"1-bedroom apartment in Gulele available for rent. 67 square metres, well laid out. Well maintained apartment. Well maintained and secure.",18500.0
Kolfe,2,1,80.1,1,0,0,2-bedroom apartment in Kolfe available for rent. About 80 square metres of living space. Features a private water tank. Ideal for families or professionals.,24500.0
Arada,5,3,161.9,0,0,1,"Apartment with 5 bedrooms in Arada, now available. Floor space of 162 square metres. Furnished and ready to move in. Close to schools and markets.",72500.0
Nifas Silk,3,2,89.3,1,1,0,"Apartment with 3 bedrooms in Nifas Silk, now available. 89 square metres, well laid out. Features a private water tank. Comes with a backup generator. Close to schools and markets.",35000.0
Bole,2,2,85.2,0,0,0,"Rent a 2-bedroom home located in Bole. 85 square metres, well laid out. Well maintained apartment. Ideal for families or professionals.",36000.0
Bole,3,2,101.2,1,0,0,3-bedroom apartment in Bole available for rent. About 101 square metres of living space. Features a private water tank. Ideal for families or professionals.,45000.0
Gulele,1,2,55.9,1,1,1,"1-bedroom unit in Gulele for long-term rental. 56 square metres, well laid out. Features a private water tank. Comes with a backup generator. Furnished and ready to move in. Quiet neighbourhood with good access to transport.",25000.0
Arada,1,1,69.1,0,0,0,1-bedroom apartment in Arada available for rent. Floor space of 69 square metres. Well maintained apartment. Well maintained and secure.,24000.0
Nifas Silk,4,2,142.9,0,1,0,"Apartment with 4 bedrooms in Nifas Silk, now available. About 143 square metres of living space. Comes with a backup generator. Close to schools and markets.",48000.0
Kolfe,3,1,103.9,1,1,0,Rent a 3-bedroom home located in Kolfe. Floor space of 104 square metres. Features a private water tank. Comes with a backup generator. Ideal for families or professionals.,34500.0
Nifas Silk,4,3,139.4,1,0,0,4-bedroom unit in Nifas Silk for long-term rental. Floor space of 139 square metres. Features a private water tank. Well maintained and secure.,47500.0
Arada,2,2,86.6,1,0,0,2-bedroom unit in Arada for long-term rental. About 87 square metres of living space. Features a private water tank. Well maintained and secure.,34500.0
Arada,5,3,141.3,1,0,0,"Apartment with 5 bedrooms in Arada, now available. 141 square metres, well laid out. Features a private water tank. Quiet neighbourhood with good access to transport.",59000.0
Yeka,3,2,104.9,0,0,0,"Apartment with 3 bedrooms in Yeka, now available. 105 square metres, well laid out. Well maintained apartment. Ideal for families or professionals.",37000.0
Bole,4,3,126.4,0,0,0,"Apartment with 4 bedrooms in Bole, now available. Floor space of 126 square metres. Well maintained apartment. Well maintained and secure.",55500.0
Kirkos,1,1,55.6,0,1,0,Rent a 1-bedroom home located in Kirkos. About 56 square metres of living space. Comes with a backup generator. Close to schools and markets.,24000.0
Yeka,1,1,69.1,1,0,1,1-bedroom apartment in Yeka available for rent. About 69 square metres of living space. Features a private water tank. Furnished and ready to move in. Close to schools and markets.,27000.0
Kirkos,4,2,132.8,0,1,1,4-bedroom unit in Kirkos for long-term rental. Floor space of 133 square metres. Comes with a backup generator. Furnished and ready to move in. Well maintained and secure.,64500.0
Lidetta,5,3,132.9,0,0,0,Rent a 5-bedroom home located in Lidetta. Floor space of 133 square metres. Well maintained apartment. Well maintained and secure.,42500.0
Yeka,5,2,132.2,1,0,0,"Apartment with 5 bedrooms in Yeka, now available. Floor space of 132 square metres. Features a private water tank. Well maintained and secure.",50000.0
Bole,2,2,91.1,1,0,1,"2-bedroom unit in Bole for long-term rental. 91 square metres, well laid out. Features a private water tank. Furnished and ready to move in. Ideal for families or professionals.",45500.0
Yeka,1,1,54.2,1,0,0,"Apartment with 1 bedrooms in Yeka, now available. About 54 square metres of living space. Features a private water tank. Quiet neighbourhood with good access to transport.",19500.0
Yeka,5,3,155.6,1,0,0,5-bedroom unit in Yeka for long-term rental. Floor space of 156 square metres. Features a private water tank. Quiet neighbourhood with good access to transport.,57500.0
Gulele,4,3,139.4,1,0,0,"Rent a 4-bedroom home located in Gulele. 139 square metres, well laid out. Features a private water tank. Well maintained and secure.",45500.0
Arada,2,1,70.7,1,0,1,2-bedroom unit in Arada for long-term rental. Floor space of 71 square metres. Features a private water tank. Furnished and ready to move in. Quiet neighbourhood with good access to transport.,33000.0
Kolfe,4,2,113.1,1,0,0,4-bedroom apartment in Kolfe available for rent. About 113 square metres of living space. Features a private water tank. Well maintained and secure.,37500.0
Gulele,5,3,172.1,1,0,0,5-bedroom unit in Gulele for long-term rental. Floor space of 172 square metres. Features a private water tank. Well maintained and secure.,55000.0
Kirkos,2,2,90.2,1,0,1,"Apartment with 2 bedrooms in Kirkos, now available. 90 square metres, well laid out. Features a private water tank. Furnished and ready to move in. Well maintained and secure.",43000.0
Kolfe,4,2,125.0,1,0,0,Rent a 4-bedroom home located in Kolfe. Floor space of 125 square metres. Features a private water tank. Ideal for families or professionals.,40000.0
Bole,4,2,118.8,0,0,0,"Apartment with 4 bedrooms in Bole, now available. 119 square metres, well laid out. Well maintained apartment. Quiet neighbourhood with good access to transport.",51500.0
Bole,3,2,101.9,0,0,0,"Apartment with 3 bedrooms in Bole, now available. About 102 square metres of living space. Well maintained apartment. Ideal for families or professionals.",43500.0
Bole,4,3,115.7,0,0,0,"Apartment with 4 bedrooms in Bole, now available. About 116 square metres of living space. Well maintained apartment. Quiet neighbourhood with good access to transport.",51500.0
Gulele,2,1,96.6,1,0,1,Rent a 2-bedroom home located in Gulele. About 97 square metres of living space. Features a private water tank. Furnished and ready to move in. Well maintained and secure.,33500.0
Arada,5,3,142.7,0,0,1,5-bedroom apartment in Arada available for rent. About 143 square metres of living space. Furnished and ready to move in. Ideal for families or professionals.,66000.0
Bole,5,3,165.1,0,0,1,"5-bedroom unit in Bole for long-term rental. 165 square metres, well laid out. Furnished and ready to move in. Quiet neighbourhood with good access to transport.",81500.0
Arada,5,3,147.2,0,0,1,"5-bedroom apartment in Arada available for rent. 147 square metres, well laid out. Furnished and ready to move in. Ideal for families or professionals.",67500.0
