title,location,subcity,bedrooms,bathrooms,size_sqm,furnished,price_etb,description
2-bedroom unit in Kolfe for long-term rental. Floor space of 92 square metres. Well maintained apartment. Ideal for families or professionals.,Kolfe,Kolfe,2.0,2.0,92.4,False,26500.0,2-bedroom unit in Kolfe for long-term rental. Floor space of 92 square metres. Well maintained apartment. Ideal for families or professionals.
"5-bedroom apartment in Kirkos available for rent. 147 square metres, well laid out. Well maintained apartment. Quiet neighbourhood with good access to transport.",Kirkos,Kirkos,5.0,3.0,147.4,False,62000.0,"5-bedroom apartment in Kirkos available for rent. 147 square metres, well laid out. Well maintained apartment. Quiet neighbourhood with good access to transport."
1-bedroom unit in Lidetta for long-term rental. About 56 square metres of living space. Furnished and ready to move in. Well maintained and secure.,Lidetta,Lidetta,1.0,1.0,56.0,False,17500.0,1-bedroom unit in Lidetta for long-term rental. About 56 square metres of living space. Furnished and ready to move in. Well maintained and secure.
3-bedroom apartment in Gulele available for rent. Floor space of 111 square metres. Features a private water tank. Close to schools and markets.,Gulele,Gulele,3.0,1.0,111.1,False,34500.0,3-bedroom apartment in Gulele available for rent. Floor space of 111 square metres. Features a private water tank. Close to schools and markets.
"Apartment with 5 bedrooms in Bole, now available. Floor space of 132 square metres. Well maintained apartment. Quiet neighbourhood with good access to transport.",Bole,Bole,5.0,3.0,131.9,False,59500.0,"Apartment with 5 bedrooms in Bole, now available. Floor space of 132 square metres. Well maintained apartment. Quiet neighbourhood with good access to transport."
5-bedroom unit in Addis Ketema for long-term rental. Floor space of 160 square metres. Well maintained apartment. Well maintained and secure.,Addis Ketema,Addis Ketema,5.0,3.0,160.4,False,47500.0,5-bedroom unit in Addis Ketema for long-term rental. Floor space of 160 square metres. Well maintained apartment. Well maintained and secure.
2-bedroom unit in Kolfe for long-term rental. Floor space of 75 square metres. Features a private water tank. Comes with a backup generator. Well maintained and secure.,Kolfe,Kolfe,2.0,1.0,74.6,False,26000.0,2-bedroom unit in Kolfe for long-term rental. Floor space of 75 square metres. Features a private water tank. Comes with a backup generator. Well maintained and secure.
4-bedroom apartment in Kolfe available for rent. Floor space of 134 square metres. Features a private water tank. Well maintained and secure.,Kolfe,Kolfe,4.0,3.0,134.4,False,43000.0,4-bedroom apartment in Kolfe available for rent. Floor space of 134 square metres. Features a private water tank. Well maintained and secure.
1-bedroom apartment in Bole available for rent. Floor space of 58 square metres. Features a private water tank. Close to schools and markets.,Bole,Bole,1.0,1.0,57.7,False,25000.0,1-bedroom apartment in Bole available for rent. Floor space of 58 square metres. Features a private water tank. Close to schools and markets.
"1-bedroom unit in Arada for long-term rental. 61 square metres, well laid out. Well maintained apartment. Close to schools and markets.",Arada,Arada,1.0,1.0,60.8,False,21500.0,"1-bedroom unit in Arada for long-term rental. 61 square metres, well laid out. Well maintained apartment. Close to schools and markets."
2-bedroom unit in Kirkos for long-term rental. About 77 square metres of living space. Well maintained apartment. Close to schools and markets.,Kirkos,Kirkos,2.0,1.0,76.9,False,30000.0,2-bedroom unit in Kirkos for long-term rental. About 77 square metres of living space. Well maintained apartment. Close to schools and markets.
"Apartment with 5 bedrooms in Akaky Kaliti, now available. 150 square metres, well laid out. Features a private water tank. Well maintained and secure.",Akaky Kaliti,Akaky Kaliti,5.0,3.0,150.1,False,45000.0,"Apartment with 5 bedrooms in Akaky Kaliti, now available. 150 square metres, well laid out. Features a private water tank. Well maintained and secure."
4-bedroom apartment in Nifas Silk available for rent. Floor space of 153 square metres. Well maintained apartment. Close to schools and markets.,Nifas Silk,Nifas Silk,4.0,2.0,152.7,False,48000.0,4-bedroom apartment in Nifas Silk available for rent. Floor space of 153 square metres. Well maintained apartment. Close to schools and markets.
3-bedroom apartment in Kolfe available for rent. Floor space of 125 square metres. Comes with a backup generator. Furnished and ready to move in. Well maintained and secure.,Kolfe,Kolfe,3.0,2.0,124.6,False,44000.0,3-bedroom apartment in Kolfe available for rent. Floor space of 125 square metres. Comes with a backup generator. Furnished and ready to move in. Well maintained and secure.
"Rent a 2-bedroom home located in Kirkos. 90 square metres, well laid out. Features a private water tank. Quiet neighbourhood with good access to transport.",Kirkos,Kirkos,2.0,1.0,90.3,False,36500.0,"Rent a 2-bedroom home located in Kirkos. 90 square metres, well laid out. Features a private water tank. Quiet neighbourhood with good access to transport."
"Rent a 1-bedroom home located in Yeka. 64 square metres, well laid out. Well maintained apartment. Well maintained and secure.",Yeka,Yeka,1.0,1.0,63.7,False,20500.0,"Rent a 1-bedroom home located in Yeka. 64 square metres, well laid out. Well maintained apartment. Well maintained and secure."
2-bedroom apartment in Arada available for rent. About 96 square metres of living space. Well maintained apartment. Well maintained and secure.,Arada,Arada,2.0,2.0,96.1,False,35500.0,2-bedroom apartment in Arada available for rent. About 96 square metres of living space. Well maintained apartment. Well maintained and secure.
1-bedroom unit in Bole for long-term rental. About 78 square metres of living space. Furnished and ready to move in. Quiet neighbourhood with good access to transport.,Bole,Bole,1.0,1.0,77.6,False,34500.0,1-bedroom unit in Bole for long-term rental. About 78 square metres of living space. Furnished and ready to move in. Quiet neighbourhood with good access to transport.
Rent a 1-bedroom home located in Kolfe. About 54 square metres of living space. Comes with a backup generator. Furnished and ready to move in. Quiet neighbourhood with good access to transport.,Kolfe,Kolfe,1.0,1.0,54.0,False,20500.0,Rent a 1-bedroom home located in Kolfe. About 54 square metres of living space. Comes with a backup generator. Furnished and ready to move in. Quiet neighbourhood with good access to transport.
