price,subcity,bedrooms,bathrooms,area_sqm
26500.0,kolfe,2,2,92.4
62000.0,kirkos,5,3,147.4
17500.0,lidetta,1,1,56.0
34500.0,gulele,3,1,111.1
47500.0,addis ketema,5,3,160.4
26000.0,kolfe,2,1,74.6
43000.0,kolfe,4,3,134.4
25000.0,bole,1,1,57.7
21500.0,arada,1,1,60.8
30000.0,kirkos,2,1,76.9
48000.0,nifas silk,4,2,152.7
44000.0,kolfe,3,2,124.6
36500.0,kirkos,2,1,90.3
20500.0,yeka,1,1,63.7
35500.0,arada,2,2,96.1
34500.0,bole,1,1,77.6
20500.0,kolfe,1,1,54.0
44000.0,nifas silk,4,2,129.1
17000.0,kolfe,1,1,42.1
32500.0,kirkos,1,1,77.5
24000.0,akaky kaliti,2,1,87.0
31000.0,kolfe,3,2,82.5
22500.0,yeka,1,1,71.3
31000.0,arada,2,2,75.2
58000.0,bole,4,2,137.5
34000.0,gulele,3,2,102.1
29500.0,addis ketema,3,2,100.2
33500.0,kirkos,2,1,87.5
39500.0,kirkos,2,2,81.1
19500.0,yeka,1,1,60.0
65500.0,bole,4,2,134.1
30000.0,gulele,2,1,97.9
26000.0,kirkos,2,1,53.1
43000.0,lidetta,4,2,124.6
40000.0,gulele,4,3,122.6
21000.0,yeka,1,1,65.8
38000.0,lidetta,3,2,114.7
23000.0,kolfe,1,1,77.5
42000.0,kirkos,3,3,99.5
33000.0,yeka,2,1,93.0
35500.0,gulele,2,2,88.3
46500.0,bole,3,2,87.5
39500.0,yeka,2,1,108.8
29000.0,bole,2,1,68.7
50000.0,gulele,5,3,156.7
18500.0,gulele,1,1,67.3
24500.0,kolfe,2,1,80.1
36000.0,bole,2,2,85.2
45000.0,bole,3,2,101.2
25000.0,gulele,1,2,55.9
24000.0,arada,1,1,69.1
34500.0,kolfe,3,1,103.9
47500.0,nifas silk,4,3,139.4
34500.0,arada,2,2,86.6
24000.0,kirkos,1,1,55.6
27000.0,yeka,1,1,69.1
64500.0,kirkos,4,2,132.8
42500.0,lidetta,5,3,132.9
45500.0,bole,2,2,91.1
57500.0,yeka,5,3,155.6
45500.0,gulele,4,3,139.4
33000.0,arada,2,1,70.7
37500.0,kolfe,4,2,113.1
55000.0,gulele,5,3,172.1
40000.0,kolfe,4,2,125.0
33500.0,gulele,2,1,96.6
66000.0,arada,5,3,142.7
81500.0,bole,5,3,165.1
67500.0,arada,5,3,147.2
21000.0,gulele,1,1,58.9
49500.0,kirkos,3,2,106.6
43500.0,nifas silk,3,1,117.9
36500.0,kirkos,3,2,85.4
31500.0,bole,1,1,77.9
61500.0,bole,4,3,139.8
30500.0,addis ketema,2,1,101.0
17000.0,akaky kaliti,1,1,63.4
51500.0,gulele,5,3,164.2
24000.0,addis ketema,1,1,72.6
18000.0,kolfe,1,1,54.7
34000.0,gulele,3,1,88.2
19500.0,kirkos,1,1,50.5
55000.0,yeka,5,3,152.1
27000.0,akaky kaliti,2,1,90.5
18000.0,arada,1,1,42.3
30500.0,yeka,1,1,80.5
38000.0,bole,2,1,73.4
38500.0,lidetta,3,2,108.0
21500.0,kolfe,1,1,76.2
35500.0,kirkos,2,1,87.8
78000.0,bole,5,3,151.8
32000.0,kirkos,2,1,82.7
56500.0,bole,4,2,125.3
41500.0,arada,3,2,108.9
24000.0,kirkos,1,1,64.4
49000.0,bole,3,2,117.6
38500.0,nifas silk,3,3,96.3
51500.0,akaky kaliti,5,3,148.5
35500.0,kirkos,3,2,82.6
55500.0,nifas silk,5,3,162.7
63500.0,bole,5,3,143.9
49000.0,addis ketema,5,3,166.6
32500.0,arada,2,2,80.3
47000.0,kolfe,5,3,151.4
52500.0,bole,3,1,131.0
