platform,property_id,title,description,price_etb,subcity,sq_m,bedrooms,bathrooms,is_furnished,url
beten,1661,Apartment,"በጣም አስቸኳይ ይከራያል 
       ካሬ105 በካርታ
ቦታው ሰሚት ፍየል ቤት አከባቢ 
              1 ሳሎን 
              2መኝታ 
              1መታጠቢያ 
              1ኪችን
     2 ዉሃ ፣መብራት የማይጠፋ ነዉ 
          1  መኪና ማቆሚያ ቦታ አለው አከባቢ ሁኔታ: ለትምህርት ቤቶች፣ ለሆስፒታሎች እና ለትራንስፖርት አመቺ የሆነ ቦታ ላይ ያለ እንዲሁም ስላም እና ደንነቱ የተረጋገጠ አከባቢ ላይ የሚገኝ የሚያስደንቅ እይታ ያለው",70000.0,Yeka,105.0,2.0,1.0,False,
beten,1705,Apartment,"⭐የሚከራይ G+3 ህንፃ
⭐ፉሪ ሰይድ ያሲን መስጂድ አከባቢ
⭐ለክልኒክ ለገስት ሀውስ ለቢሮ
 ⭐ለሌላም አገልግሎት ይሆናል
  ዋጋ 170 ሺህ 
የአከባቢ ሁኔታ: ለትምህርት ቤቶች፣ ለሆስፒታሎች እና ለትራንስፖርት አመቺ የሆነ ቦታ ላይ ያለ ለዋነው አስፓልት ቅርብ የሆነ ፣ እንዲሁም ስላም እና ደንነቱ የተረጋገጠ አከባቢ ላይ የሚገኝ",170000.0,Other,150.0,0.0,0.0,False,
beten,1693,Apartment,"ቦሌ ፍላሚንጎ አከባቢ በ35 ሺህ ብር  የሚከራይ 75 ካሬሜትር ባለ 1መኝታ
በዉስጡም
       1ሳሎን 
              1መኝታ 
              1መታጠቢያ 
              1ኪችን
1  መኪና ማቆሚያ ቦታ አለው የአከባቢ ሁኔታ: ለትምህርት ቤቶች፣ ለሆስፒታሎች እና ለትራንስፖርት አመቺ የሆነ ቦታ ላይ ያለ ለዋነው አስፓልት ቅርብ የሆነ ፣ እንዲሁም ስላም እና ደንነቱ የተረጋገጠ አከባቢ ላይ የሚገኝ",35000.0,Bole,75.0,1.0,1.0,False,
beten,1523,Residence Building,"የሚከራይ G+3
ጠቅላላ ስፋት 500ካሬ
የክፍል ብዛት 8መኝታ ክፍል
የሳሎን ብዛት 2
ሻወር ሽንት ቤት 5
አድራሻ ካራ መሪሎቄ ሰንሻይን ካምፓውንድ የአከባቢ ሁኔታ: ለትምህርት ቤቶች፣ ለሆስፒታሎች እና ለትራንስፖርት አመቺ የሆነ ቦታ ላይ ያለ እንዲሁም ስላም እና ደንነቱ የተረጋገጠ አከባቢ ላይ የሚገኝ የሚያስደንቅ እይታ ያለው",180000.0,Other,500.0,6.0,5.0,False,
beten,1569,Villa Houses,"የሚከራይ ቪላ በአስቸኳይ
   አድራሻ አያት አካባቢ 
   ሰፋቱ  250 ካሬ
      3    መኝታ 
      3  ሰርቪስ 
      3  የመኪና ፓርክ
       2  ክችን   1 ሳሎን
  ዋጋ  45 ሽህ ብር አከባቢ ሁኔታ: ለትምህርት ቤቶች፣ ለሆስፒታሎች እና ለትራንስፖርት አመቺ የሆነ ቦታ ላይ ያለ እንዲሁም ስላም እና ደንነቱ የተረጋገጠ አከባቢ ላይ የሚገኝ የሚያስደንቅ እይታ ያለው",45000.0,Yeka,250.0,3.0,3.0,False,
beten,1439,Villa Houses,"ለኪራይ የቀረበ  ዘመናዊ ቪላ መኖሪያ ቤት
 ቦታ አያት   ኮባዉድ ዉስጥ 
 አያት  ካሉ ቤቶች   በአንደኝ  ደረጃ የሚጠራ  በጣም  ቆንጆ ቤት 

 በካረታ 310 ካሬ ሜትር 
 3 መኝታ ቤት
3ሰርቢስ
4 መታጠቢያ ቤት
 2 ኪቺን ቤት
 3 መኪና ማቆሚያ
 ዋጋ 55ሺ ብር  ድርድር አለዉ። የአከባቢ ሁኔታ: ለትምህርት ቤቶች፣ ለሆስፒታሎች እና ለትራንስፖርት አመቺ የሆነ ቦታ ላይ ያለ ለዋነው አስፓልት ቅርብ የሆነ ፣ እንዲሁም ስላም እና ደንነቱ የተረጋገጠ አከባቢ ላይ የሚገኝ",55000.0,Yeka,310.0,3.0,4.0,False,
beten,1446,Service House,"አስቸኳይ የሚከራይ ቤት ኮተቤ 02 አካባቢ ለ ዋና መንገድ ቅርብ የሆነ መሰረተ lማቶች የተሟላ                                                                                        3 መኝታ 
1 መታጠቢያ
1 outdoor kitchen ለትምህርት ቤቶች፣ ለሆስፒታሎች እና ለትራንስፖርት አመቺ የሆነ ቦታ ላይ ያለ እንዲሁም ስላም እና ደንነቱ የተረጋገጠ አከባቢ ላይ የሚገኝ የሚያስደንቅ እይታ ያለው",17000.0,Yeka,94.0,3.0,1.0,False,
beten,1319,Apartment,"#ባለ 3 ወለል ስሰት መኝታ አፓርትመንት ሁሉም መኝታ ክፍሎች የግል መታጠቢያ ያላቸው 38  ሺ ብር   የክራያ ዋጋው በውለል   
#በተጫማሪም 130 ካሬ ሁለት ወለል ያለው ለፍለጉት አገልጎት የሚሆን የክራያ ዋጋው በውለል  45 ሺ ብር 
#የአከባቢ ሁኔታ: ለትምህርት ቤቶች፣ ለሆስፒታሎች እና ለትራንስፖርት አመቺ የሆነ ቦታ ላይ ያለ ለዋነው አስፓልት ቅርብ የሆነ ፣ እንዲሁም ስላም እና ደንነቱ የተረጋገጠ አከባቢ ላይ የሚገኝ",38000.0,Other,250.0,3.0,3.0,False,
beten,1218,Apartment,"➴:-አስቸኳይ ይከራያል @አድስ አበባ 
#ቦታው ———6 ኪሎ አከባቢ

➴10ኛ————ላይ
#24/7 ——የምሰራ ፈጣን ሊፍት አለው

#አስፓልት ዳር ነዉ 
➴:-ድርድር ——የለዉም 👈",45000.0,Yeka,124.0,2.0,2.0,False,
beten,1187,Apartment,"🔸በጣም አስቸኳይ ይከራያል
🔸ቦታው------ልደታ አከባቢ

➖በጣም ዘመናዊ ሙሉ የቤት እቃ አለው 

➖ የተሟላ ቤት ነዉ",50000.0,Lideta,125.0,2.0,2.0,False,
